Ticker,Category,Fundamental Cluster,Risk Cluster
ACWI,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VXF,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWJ,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XLP,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
SCHG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XLE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
MTUM,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VHT,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SCHA,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XLU,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IWO,Small Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IWN,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IWS,Mid-Cap Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GSLC,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FDN,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SCZ,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VOE,Mid-Cap Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EFAV,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IWV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IUSG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IBB,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VOT,Mid-Cap Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FVD,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EFG,Foreign Large Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
MGK,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
TQQQ,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
SPYG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VLUE,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IHI,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SPDW,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SCHE,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPLV,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SCHM,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SCHV,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IJK,Mid-Cap Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
SPLG,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IUSV,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ARKG,Health,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
SPYV,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EFV,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
OEF,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VFH,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
EWY,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
NOBL,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FTCS,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XBI,Health,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
IYW,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWZ,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile
MCHI,China Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IJS,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GDXJ,Equity Precious Metals,Mid Fundamentals Broad Market,High Risk - Double Market Volatile
SKYY,Technology,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
ESGE,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IGV,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ACWV,World Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
HDV,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VSS,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VDC,Consumer Defensive,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
AAXJ,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VONG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IJJ,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWT,China Region,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FNDF,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FNDX,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FTEC,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ARKW,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IJT,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XLB,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EZU,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DGRW,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IXN,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SPEM,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VOOG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SOXX,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VCR,Consumer Cyclical,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
INDA,India Equity,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ICLN,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VPL,Diversified Pacific/Asia,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PRF,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VPU,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SPTM,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
AMLP,Energy Limited Partnership,Low Fundamentals Broad Market,High Risk - Double Market Volatile
EEMV,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MOAT,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FXI,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IEUR,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QLD,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
SMH,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VIS,Industrials,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
IDV,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ACWX,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DBEF,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FNDA,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KWEB,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ONEQ,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FNDE,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
TAN,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
GUNR,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MGV,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IWY,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SPMD,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XSOE,Diversified Emerging Mkts,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VONV,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QTEC,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VDE,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
MGC,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VOX,Communications,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
SPSM,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VTWO,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IGM,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SSO,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
IGF,Infrastructure,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CIBR,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XT,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VIGI,Foreign Large Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
SCHC,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JETS,Miscellaneous Sector,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
EWU,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ITA,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IOO,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SLYV,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RPG,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWC,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DON,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IQLT,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DSI,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWG,Miscellaneous Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DLN,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FXL,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
AIA,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PBW,Miscellaneous Sector,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
SPHD,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KBE,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
IYH,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IXJ,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FHLC,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SPHQ,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
HEFA,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PDP,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SPYD,,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FV,Large Growth,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ASHR,China Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RYT,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XOP,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
VAW,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
GSIE,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FNDC,Foreign Small/Mid Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SUSA,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
NFRA,Infrastructure,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FAS,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
RODM,Foreign Large Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EPP,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
TECL,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
FBT,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ITB,Consumer Cyclical,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MDYG,Mid-Cap Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
HACK,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VONE,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FPX,Large Growth,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
HEDJ,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SLYG,Small Growth,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
KRE,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
QCLN,Miscellaneous Sector,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SOXL,Trading--Leveraged Equity,Market Leveraged ETF,Moderat/High Risk - Slightly Above Market Volatility
FEZ,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JHMM,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JKE,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
RDVY,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SH,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
GXC,China Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
UPRO,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
GEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWA,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EWL,Miscellaneous Region,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XLG,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XMLV,Mid-Cap Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DEM,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PRFZ,Small Blend,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
DGS,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EMLP,Energy Limited Partnership,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
VYMI,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SPXL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
ARKQ,Technology,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
AMJ,Energy Limited Partnership,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile
QYLD,Option Writing,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IEV,Europe Stock,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RSX,Miscellaneous Region,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DXJ,Japan Stock,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
ROBO,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
VOOV,Large Value,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
ILF,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile
DES,Small Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
JKH,,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
LIT,Natural Resources,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility
IYT,Industrials,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
MDYV,Mid-Cap Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XSLV,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
TNA,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
CWI,Foreign Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FXH,Health,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
EWH,,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IYY,Large Blend,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
QDF,Large Value,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IYF,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
EMQQ,Diversified Emerging Mkts,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
DLS,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FDL,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
TILT,Large Blend,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
SQQQ,Trading--Inverse Equity,Market Inverse ETF,Betting against the market 
TDIV,Technology,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FXD,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SLY,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
CQQQ,China Region,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
KBWB,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
EWW,Miscellaneous Region,Low Fundamentals Broad Market,High Risk - Double Market Volatile
PHO,Natural Resources,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
XHB,Consumer Cyclical,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FDIS,Consumer Cyclical,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
GNR,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
XAR,Industrials,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IYC,Consumer Cyclical,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IYJ,Industrials,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
PXH,Diversified Emerging Mkts,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
IYG,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat/High Risk - Slightly Above Market Volatility
VIOO,Small Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
QQEW,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
URTH,World Stock,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
NUGT,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile
IHF,Health,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IPAC,Diversified Pacific/Asia,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
FUTY,Utilities,Mid Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility
FTC,Large Growth,High Fundamental Broad Market,Moderat/High Risk - Slightly Above Market Volatility
IVOO,Mid-Cap Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
RPV,Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
PXF,Foreign Large Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
SIZE,Large Blend,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility
EUFN,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)",Moderat Risk - Slighty Below Market Volatility
