,Ticker,Number of Holdings,Percentage of Assets in Top 10,Beta,Issuer,ESG Score,Annual Dividend Rate in $,Annual Dividend Yield %,Expense Ratio,Inception,Index Tracked,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),AUM in Millions $,Shares in Millions,Num of sectors,Sector (General),Sector (Specific)
22,PBDM,1485.0,11.15,0.9,Invesco,7.4,0.47,1.71,0.0007,9/22/2017,FTSE Developed ex-North America Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,8.3,0.3,22,,
24,DYHG,2.0,100.0,0.84,Direxion,5.31,0.44,0.84,0.0058,6/11/2020,Salt truVol US Large Cap Dynamic Hedge Index,Hedge Fund,Equity,Large-Cap,Blend,North America,U.S.,7.9,0.2,2,,
25,IWV,2857.0,22.09,1.04,iShares,5.09,2.91,1.26,0.002,5/22/2000,Russell 3000 Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,10673.1,46.3,21,,
26,ERUS,27.0,68.25,1.17,iShares,3.59,1.62,4.2,0.0059,11/9/2010,MSCI Russia 25/50 Index,Europe Equities,Equity,Multi-Cap,Blend,Emerging Europe,Russia,472.8,12.3,10,Energy,Broad
27,RWJ,591.0,23.08,1.51,Invesco,4.65,0.72,0.67,0.0039,2/22/2008,RevenueShares Small Cap Index,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,396.7,3.7,20,,
28,IEV,366.0,18.27,0.91,iShares,7.82,0.84,1.74,0.0059,7/25/2000,S&P Europe 350 Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,1603.9,33.2,21,Consumer Staples,Broad
30,EWD,40.0,52.26,0.97,iShares,8.65,0.39,0.92,0.0051,3/12/1996,MSCI Sweden Index,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,450.3,10.7,15,,
31,XSD,39.0,34.5,1.32,State Street SPDR,4.32,0.44,0.25,0.0035,2/6/2006,S&P Semiconductor Select Industry,Technology Equities,Equity,Multi-Cap,Growth,North America,U.S.,964.2,5.5,3,Technology,Semiconductors
32,LNGR,100.0,28.03,0.84,Global X,6.43,0.1,0.37,0.005,5/9/2016,Indxx Global Longevity Thematic Index,Health & Biotech Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,39.3,1.5,7,Healthcare,Broad
33,LOWC,1611.0,14.82,0.94,State Street SPDR,5.83,1.81,1.56,0.002,11/25/2014,MSCI ACWI Low Carbon Target Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,92.8,0.8,22,,
34,SGDM,35.0,61.69,0.71,Sprott Asset Management,6.76,0.09,0.35,0.005,7/15/2014,Sprott Zacks Gold Miners Index,Materials,Equity,Multi-Cap,Blend,North America,Canada,228.8,8.7,2,Materials,Gold Miners
35,ESGA,109.0,22.8,1.07,American Century Investments,5.96,0.2,0.42,0.0039,7/13/2020,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,126.9,2.7,0,,
36,VO,349.0,7.3,1.11,Vanguard,5.32,3.0,1.39,0.0004,1/30/2004,CRSP US Mid Cap Index,Mid Cap Growth Equities,Equity,Mid-Cap,Blend,North America,U.S.,44031.5,204.5,20,,
38,FLCA,53.0,52.87,1.04,Franklin Templeton Investments,7.11,0.68,2.32,0.0009,11/2/2017,FTSE Canada Capped Index,Global Equities,Equity,Multi-Cap,Blend,North America,Canada,21.9,0.8,15,,
40,EWSC,603.0,4.57,1.4,Invesco,4.01,0.53,0.68,0.004,12/3/2010,S&P SmallCap 600 Equal Weight Index,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,40.2,0.5,20,,
42,HDMV,152.0,15.33,0.7,First Trust,7.92,0.44,1.47,0.008,8/24/2016,NONE,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,89.2,3.0,20,,
43,KRE,130.0,35.6,1.43,State Street SPDR,5.03,1.44,2.14,0.0035,6/19/2006,S&P Regional Banks Select Industry Index,Financials Equities,Equity,Multi-Cap,Value,North America,U.S.,4215.7,62.6,2,Financials,Regional Banks
44,MCHI,598.0,48.6,0.76,iShares,3.24,0.84,0.99,0.0059,3/29/2011,MSCI China Index,China Equities,Equity,Large-Cap,Blend,Emerging Asia Pacific,China,6552.3,77.0,22,,
45,EWO,28.0,71.5,1.27,iShares,7.83,0.19,0.9,0.0051,3/12/1996,MSCI Austria Investable Market Index,Europe Equities,Equity,Multi-Cap,Value,North America,U.S.,56.9,2.7,13,,
46,KSCD,47.0,24.71,0.77,KraneShares,4.46,0.4,1.41,0.0052,6/12/2019,Russell 2000 Dividend Select Equal Weight Index,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,39.7,1.4,12,,
47,RFEM,105.0,34.52,0.87,First Trust,4.8,0.84,1.15,0.0095,6/14/2016,NONE,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,55.3,0.8,16,,
49,FV,6.0,99.99,1.12,First Trust,4.91,0.03,0.06,0.0087,3/5/2014,Dorsey Wright Focus Five Index,Global Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,2459.9,57.6,1,,
50,DVOL,51.0,28.47,0.76,First Trust,4.77,0.15,0.62,0.006,9/5/2018,Dorsey Wright Momentum Plus Low Volatility Index,Volatility Hedged Equity,Equity,Multi-Cap,Growth,North America,U.S.,113.8,4.8,15,,
51,XES,23.0,52.11,2.7,State Street SPDR,3.87,0.36,0.55,0.0035,6/19/2006,S&P Oil & Gas Equipment & Services Select Industry Index,Energy Equities,Equity,Micro-Cap,Value,Developed Markets,Broad,181.9,2.8,5,Energy,Oil Equipment & Services
52,JSML,205.0,31.48,1.33,Janus Henderson Investors,3.42,0.19,0.29,0.003,2/23/2016,Janus Henderson Small Cap Growth Alpha Index,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,116.7,1.8,16,,
53,BOTZ,33.0,60.51,1.2,Global X,7.23,0.06,0.2,0.0068,9/12/2016,Indxx Global Robotics & Artificial Intelligence Thematic Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,2459.0,76.2,7,,
54,IGN,23.0,67.66,1.03,iShares,6.64,0.36,0.56,0.0046,7/10/2001,S&P North American Technology-Multimedia Networking Index,Communications Equities,Equity,Multi-Cap,Blend,North America,U.S.,99.2,1.6,5,Technology,Networking
55,CIZ,501.0,3.29,0.69,Victory Capital,7.53,0.47,1.49,0.0046,9/30/2014,CEMP International 500 Long/Cash Volatility Weighted Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,39.5,1.3,21,,
56,KARS,59.0,33.94,1.38,KraneShares,4.93,0.06,0.14,0.0072,1/18/2018,Solactive Electric Vehicles and Future Mobility Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,185.5,4.4,8,,
57,FEP,201.0,10.17,1.12,First Trust,7.21,0.88,2.26,0.008,4/26/2011,Defined Europe Index,Europe Equities,Equity,Multi-Cap,Blend,Developed Europe,Broad,466.7,12.0,20,,
58,RCD,62.0,20.25,1.43,Invesco,5.48,0.99,0.74,0.004,11/7/2006,S&P Equal Weight Index Consumer Discretionary,Consumer Discretionary Equities,Equity,Multi-Cap,Blend,North America,U.S.,530.6,4.0,9,Consumer Discretionary,Broad
60,LTL,45.0,80.33,1.47,ProShares,5.2,0.62,1.48,0.0095,3/25/2008,Dow Jones U.S. Select Telecommunications Index (200%),Leveraged Equities,Equity,Multi-Cap,Blend,North America,U.S.,2.1,0.1,0,Telecom,Broad
62,SLY,603.0,5.26,1.27,State Street SPDR,4.38,0.88,0.95,0.0015,11/15/2005,S&P SmallCap 600 Index,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,1763.2,19.0,20,,
63,IGV,113.0,53.0,1.02,iShares,5.39,1.24,0.37,0.0046,7/10/2001,S&P North American Technology-Software Index,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,5273.0,15.7,6,Technology,Software
64,LVHD,78.0,25.9,0.8,Legg Mason,6.38,1.12,3.36,0.0027,12/28/2015,QS Low Volatility High Dividend Index ,Volatility Hedged Equity,Equity,Multi-Cap,Blend,North America,U.S.,686.3,20.6,15,,
65,SMMD,504.0,47.72,1.24,iShares,4.57,0.75,1.21,0.0015,7/6/2017,Russell 2500 Index,Small Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,249.8,4.1,22,,
66,CCOR,46.0,28.53,-0.02,Core Alternative Capital,5.5,0.43,1.51,0.0123,5/24/2017,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,158.2,5.6,20,,
67,IEHS,161.0,50.41,0.81,iShares,5.17,0.3,0.8,0.0018,3/21/2018,NONE,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,22.5,0.6,15,Healthcare,Broad
68,CSA,494.0,4.1,1.21,Victory Capital,4.2,0.74,1.2,0.0035,7/7/2015,CEMP US Small Cap 500 Volatility Weighted Index,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,24.9,0.4,22,,
71,QAT,34.0,67.0,0.57,iShares,3.66,0.49,2.68,0.0059,4/29/2014,MSCI All Qatar Capped Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Middle East,Qatar,74.6,4.2,15,,
72,IVOO,402.0,6.89,1.2,Vanguard,4.84,1.91,1.13,0.001,9/9/2010,S&P MidCap 400 Index,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,1256.1,7.4,20,,
73,IJT,333.0,10.72,1.21,iShares,4.75,1.11,0.89,0.0018,7/24/2000,S&P SmallCap 600/Citigroup Growth Index,Small Cap Growth Equities,Equity,Micro-Cap,Growth,North America,U.S.,6086.6,48.6,21,,
74,XSLV,121.0,10.67,0.99,Invesco,4.68,1.01,2.22,0.0025,2/15/2013,S&P SmallCap 600 Low Volatility Index,Volatility Hedged Equity,Equity,Micro-Cap,Blend,North America,U.S.,1514.9,33.3,16,,
75,NULG,111.0,37.15,1.04,Nuveen,6.9,1.51,2.71,0.0035,12/13/2016,TIAA ESG USA Large-Cap Growth Index ,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,566.0,10.2,17,,
76,IHI,64.0,69.58,0.84,iShares,5.19,0.81,0.25,0.0042,5/5/2006,Dow Jones U.S. Select Medical Equipment Index,Health & Biotech Equities,Equity,Large-Cap,Growth,North America,U.S.,8210.8,25.4,5,Healthcare,Medical Devices
77,BOSS,101.0,18.09,1.24,Global X,3.22,0.34,1.08,0.0045,2/13/2017,Solactive U.S. Founder-Run Companies Index,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,11.0,0.4,15,,
79,COPX,31.0,53.12,1.62,Global X,3.92,0.39,1.09,0.0065,4/19/2010,Solactive Global Copper Miners Index,Materials,Equity,Multi-Cap,Blend,Global,Broad,603.5,16.8,4,Materials,Copper Miners
80,PBSM,1744.0,2.95,1.21,Invesco,4.34,0.48,1.31,0.0006,9/22/2017,MSCI USA Small Cap Index,Small Cap Growth Equities,Equity,Small-Cap,Blend,North America,U.S.,23.1,0.6,21,,
82,PDP,101.0,24.89,0.98,Invesco,5.21,0.09,0.12,0.0062,3/1/2007,Dorsey Wright Technical Leaders Index,Large Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,1753.2,21.3,16,,
83,ISDX,857.0,14.36,1.04,Invesco,6.64,0.55,1.86,0.0023,9/12/2018,Invesco Strategic Developed ex-US Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,303.3,10.4,21,,
84,ECLN,41.0,51.3,0.53,First Trust,7.97,0.38,1.75,0.0095,8/19/2019,NONE,Utilities Equities,Equity,Multi-Cap,Blend,North America,U.S.,7.6,0.4,3,Utilities,Broad
85,DVLU,51.0,31.66,1.38,First Trust,6.06,0.24,1.07,0.006,9/5/2018,Dorsey Wright Momentum Plus Value Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,17.6,0.8,12,,
87,XMMO,76.0,27.7,1.02,Invesco,5.15,0.48,0.61,0.0034,3/3/2005,S&P MidCap 400 Index,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,910.8,11.5,18,,
88,LFEQ,2.0,100.0,0.96,VanEck,5.29,0.71,2.02,0.006,10/4/2017,Ned Davis Research CMG US Large Cap Long/Flat Index ,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,31.0,0.9,2,,
89,REMX,21.0,66.27,1.29,VanEck,4.74,0.54,0.68,0.006,10/27/2010,MVIS Global Rare Earth/Strategic Metals Index,Materials,Equity,Multi-Cap,Blend,Broad Asia,Broad,656.2,8.3,4,Materials,Metals & Mining
90,SCHF,1502.0,10.31,0.87,Charles Schwab,7.38,0.75,2.05,0.0006,11/3/2009,FTSE Developed ex U.S. Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,24403.2,667.3,21,,
91,RESP,299.0,23.4,1.08,WisdomTree,5.73,0.54,1.29,0.0028,2/23/2007,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,85.2,2.0,19,,
92,AVUS,2112.0,16.35,1.13,American Century Investments,5.46,0.75,1.11,0.0015,9/24/2019,NONE,Large Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,799.6,11.9,21,,
93,EEMX,557.0,32.6,0.8,State Street SPDR,5.51,1.09,1.4,0.003,10/24/2016,MSCI Emerging Markets ex Fossil Fuels Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,160.6,2.0,21,,
94,ZIG,34.0,64.26,0.84,"Acquirers Funds, LLC",7.08,0.04,0.17,0.0154,5/14/2019,Acquirer's Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,25.7,1.1,12,Financials,Broad
95,HDIV,101.0,42.12,0.86,Russell,6.6,0.44,1.59,0.0075,2/27/2020,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,3.5,0.1,19,,
96,ECOZ,71.0,30.86,1.29,"TrueMark Investments, LLC",5.72,0.14,0.39,0.0058,3/2/2020,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,8.6,0.3,17,,
97,ESGS,101.0,15.13,1.2,Columbia Threadneedle Investments,7.39,0.76,2.29,0.0035,6/13/2016,Beta Advantage Sustainable U.S. Equity Income 100 Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,8.3,0.3,19,,
98,FLM,57.0,32.26,1.12,First Trust,5.99,1.42,2.69,0.006999999999999999,10/13/2008,ISE Global Engineering and Construction Index,Building & Construction ,Equity,Mid-Cap,Blend,Developed Markets,Broad,7.9,0.2,5,Materials,Engineering & Construction
99,IHAK,47.0,40.48,0.89,iShares,4.29,0.16,0.43,0.0047,6/11/2019,NYSE FactSet Global Cyber Security Index,Technology Equities,Equity,Multi-Cap,Blend,North America,U.S.,394.5,10.5,5,Technology,Internet Architecture
100,SDY,114.0,22.76,0.91,State Street SPDR,5.93,3.02,2.63,0.0035,11/15/2005,S&P High Yield Dividend Aristocrats Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,17897.3,155.7,18,,
102,RNLC,360.0,9.21,1.07,First Trust,6.04,0.45,1.55,0.006,6/20/2017,Nasdaq Riskalyze Large Cap US Equity Select Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,23.1,0.8,21,,
103,VEGI,141.0,56.33,0.9,iShares,6.05,0.53,1.36,0.0039,1/31/2012,MSCI ACWI Select Agriculture Producers Investable Market Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,60.1,1.6,7,Materials,Agribusiness
104,WDIV,102.0,15.91,0.96,State Street SPDR,6.97,3.35,5.21,0.004,5/29/2013,S&P Global Dividend Aristocrats Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,207.3,3.2,16,,
105,USMF,199.0,12.77,0.97,WisdomTree,4.88,0.47,1.28,0.0028,6/28/2017,WisdomTree U.S. Multifactor Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,144.7,4.0,21,,
107,WANT,65.0,73.84,3.6,Direxion,5.98,0.04,0.08,0.0098,11/29/2018,S&P Consumer Discretionary Select Sector Index (-300%),Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,22.9,0.5,0,Consumer Discretionary,Broad
108,DBEU,440.0,19.74,0.75,DWS,7.8,0.73,2.36,0.0046,10/1/2013,MSCI Europe US Dollar Hedged Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,421.9,13.7,22,,
109,DGT,157.0,9.82,0.97,State Street SPDR,6.11,1.89,1.83,0.005,9/29/2000,Global Dow Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,87.8,0.9,20,,
110,ITEQ,62.0,55.02,1.03,ITEQ ETF Partners LLC,5.15,0.39,0.6,0.0075,11/3/2015,TASE-BlueStar Israel Global Technology Index,Technology Equities,Equity,Multi-Cap,Blend,Middle East,Israel,195.2,3.0,12,Technology,Broad
111,PKB,31.0,45.69,1.39,Invesco,6.48,0.12,0.27,0.0059,10/26/2005,Dynamic Building & Construction Intellidex Index,Building & Construction ,Equity,Multi-Cap,Blend,North America,U.S.,222.6,4.8,8,Materials,Homebuilders
112,IVOG,229.0,13.02,1.11,Vanguard,5.05,1.32,0.71,0.0015,9/9/2010,S&P MidCap 400 Growth Index,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,855.0,4.6,19,,
113,FNDX,705.0,18.11,1.07,Charles Schwab,5.39,1.04,2.07,0.0025,8/15/2013,Russell Fundamental U.S. Large Company Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,6114.6,122.0,21,,
114,FLQH,219.0,22.05,0.59,Franklin Templeton Investments,7.81,2.03,7.98,0.004,6/1/2016,LibertyQ International Equity Hedged Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,12.7,0.5,19,,
115,FID,79.0,19.08,0.93,First Trust,7.74,0.63,3.7,0.006,8/22/2013,S&P International Dividend Aristocrats Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,30.7,1.8,14,,
117,EKAR,63.0,36.24,1.33,Exchange Traded Concepts,4.82,0.17,0.43,0.0095,2/13/2018,Innovation Labs Next Generation Vehicles Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,10.6,0.3,9,,
118,JPXN,396.0,16.09,0.7,iShares,6.29,0.92,1.27,0.0048,10/26/2001,JPX-Nikkei Index 400,Japan Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Japan,86.6,1.2,21,,
120,NLR,26.0,59.69,0.55,VanEck,5.73,1.1,2.26,0.0061,8/13/2007,DAXglobal Nuclear Energy Index,Alternative Energy Equities,Equity,Multi-Cap,Value,Developed Markets,Broad,20.2,0.4,5,Energy,Nuclear Energy
121,DON,310.0,11.15,1.18,WisdomTree,4.68,0.89,2.27,0.0038,6/16/2006,WisdomTree MidCap Dividend Index,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,North America,U.S.,2837.1,72.5,21,,
122,CHIE,23.0,62.83,0.72,Global X,0.5,0.33,3.58,0.0066,12/15/2009,Solactive China Energy Index,China Equities,Equity,Multi-Cap,Blend,Emerging Asia Pacific,China,2.3,0.3,5,Energy,Broad
123,IXG,194.0,29.05,1.11,iShares,8.58,1.39,1.92,0.0046,11/12/2001,S&P Global Financials Sector Index,Financials Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,448.6,6.2,5,Financials,Broad
124,GBLO,101.0,47.27,-0.67,Global Beta Advisors LLC,5.43,0.17,0.78,0.0029,7/27/2020,Global Beta Low Beta Factor Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,0.5,0.0,19,,
125,AVEM,2744.0,18.9,0.98,American Century Investments,4.48,0.99,1.51,0.0033,9/19/2019,MSCI Emerging Markets Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Global,Broad,614.8,9.4,22,,
126,UPW,48.0,66.41,0.8,ProShares,7.43,0.47,0.91,0.0095,1/30/2007,Dow Jones U.S. Utilities Index (200%),Leveraged Equities,Equity,Multi-Cap,Value,North America,U.S.,11.6,0.2,0,Utilities,Broad
127,EWW,49.0,62.92,0.99,iShares,4.57,0.62,1.48,0.0051,3/12/1996,MSCI Mexico IMI 25/50 Index,Latin America Equities,Equity,Multi-Cap,Blend,Latin America,Mexico,1069.6,25.7,14,,
128,XSOE,511.0,33.98,0.88,WisdomTree,5.24,0.41,0.98,0.0032,12/10/2014,WisdomTree Emerging Markets ex-State-Owned Enterprises Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,4348.0,105.0,20,,
129,OLD,49.0,69.67,0.97,Janus Henderson Investors,6.02,0.59,1.94,0.003,6/8/2016,Solactive Long-Term Care Index,Global Real Estate,Equity,Multi-Cap,Blend,Developed Markets,Broad,24.4,0.8,7,Real Estate,Broad
132,DVYE,98.0,19.49,0.9,iShares,4.38,1.96,5.04,0.0049,2/23/2012,Dow Jones Emerging Markets Select Dividend Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,827.7,21.3,18,,
133,QQQ,103.0,50.89,1.04,Invesco,4.59,1.74,0.58,0.002,3/10/1999,NASDAQ-100 Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,144758.0,468.8,15,Technology,Broad
137,RFG,83.0,21.49,1.19,Invesco,4.8,0.55,0.27,0.0035,3/1/2006,S&P MidCap 400/Citigroup Pure Growth Index,Small Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,376.5,1.8,18,,
138,VSS,3758.0,7.07,1.03,Vanguard,5.35,2.31,1.83,0.0011,4/6/2009,FTSE Global Small Cap ex US Index,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,7339.7,58.2,22,,
139,ALFA,38.0,30.28,1.13,Exchange Traded Concepts,4.95,0.37,0.5,0.0065,5/30/2012,AlphaClone Hedge Fund Long/Short Index,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,27.8,0.4,13,,
140,IDEV,2180.0,8.95,0.89,iShares,7.23,1.24,1.97,0.0005,3/21/2017,MSCI World ex USA Investable Market Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,4943.2,78.9,22,,
141,TPAY,55.0,47.01,1.35,Tortoise Capital,5.08,0.1,0.23,0.004,1/31/2019,Ecofin Global Digital Payments Infrastructure Index,Technology Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,11.1,0.3,6,Technology,Broad
143,FLQL,256.0,11.57,0.9,Franklin Templeton Investments,6.05,0.75,1.98,0.0015,4/26/2017,LibertyQ U.S. Large Cap Equity Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,1326.6,34.8,20,,
146,TMFC,102.0,57.99,1.02,Motley Fool Asset Management,4.21,0.15,0.44,0.005,1/30/2018,Motley Fool 100 Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,400.1,11.6,19,,
148,PEY,51.0,32.9,1.01,Invesco,6.18,0.81,4.12,0.0052,12/9/2004,Dividend Achiever 50 Index,All Cap Equities,Equity,Multi-Cap,Value,North America,U.S.,837.8,42.6,16,,
