Ticker,pe,pb,pcf,ps,cluster,Category,Fundamental Cluster
VEU,20.02,1.79,10.35,1.46,1,Foreign Large Blend,Mid Fundamentals Broad Market
EEM,19.32,2.04,11.03,1.62,1,Diversified Emerging Mkts,Mid Fundamentals Broad Market
IWB,27.22,3.76,16.08,2.61,3,Large Blend,High Fundamental Broad Market
SCHX,27.52,3.86,16.33,2.67,3,Large Blend,High Fundamental Broad Market
XLV,27.26,4.62,15.08,1.69,3,Health,High Fundamental Broad Market
IXUS,19.99,1.71,9.98,1.37,1,Foreign Large Blend,Mid Fundamentals Broad Market
IWR,25.24,2.93,13.61,1.87,1,Mid-Cap Blend,Mid Fundamentals Broad Market
XLF,17.87,1.46,0.0,2.35,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
DIA,23.49,4.11,15.58,2.43,3,Large Value,High Fundamental Broad Market
SCHF,20.55,1.61,9.81,1.31,1,Foreign Large Blend,Mid Fundamentals Broad Market
QUAL,25.69,5.47,16.97,3.42,3,Large Blend,High Fundamental Broad Market
VV,28.32,4.12,16.72,2.83,3,Large Blend,High Fundamental Broad Market
IVE,21.24,2.29,11.67,1.74,1,Large Value,Mid Fundamentals Broad Market
XLY,33.58,8.43,16.29,2.43,3,Consumer Cyclical,High Fundamental Broad Market
SCHB,26.92,3.62,15.52,2.47,3,Large Blend,High Fundamental Broad Market
RSP,22.76,2.57,12.19,1.69,1,Large Blend,Mid Fundamentals Broad Market
VBR,18.65,1.92,9.16,1.16,2,Small Value,Low Fundamentals Broad Market
MDY,25.01,2.55,12.21,1.71,1,Mid-Cap Blend,Mid Fundamentals Broad Market
ARKK,0.0,7.56,32.26,9.5,3,Mid-Cap Growth,High Fundamental Broad Market
SDY,21.8,2.33,10.86,1.45,1,Large Value,Mid Fundamentals Broad Market
VT,23.6,2.53,12.87,1.92,1,World Stock,Mid Fundamentals Broad Market
GDX,20.02,2.06,9.78,3.11,1,Equity Precious Metals,Mid Fundamentals Broad Market
SCHD,20.76,2.63,11.42,1.75,1,Large Value,Mid Fundamentals Broad Market
XLI,27.12,4.64,16.41,2.36,3,Industrials,High Fundamental Broad Market
IWP,35.54,10.16,24.14,3.1,3,Mid-Cap Growth,High Fundamental Broad Market
DGRO,21.04,2.95,13.51,2.22,1,Large Value,Mid Fundamentals Broad Market
VGK,20.86,1.84,10.08,1.39,1,Europe Stock,Mid Fundamentals Broad Market
DVY,18.27,1.52,8.68,1.3,2,,Low Fundamentals Broad Market
VBK,34.97,5.33,21.56,4.39,3,Small Growth,High Fundamental Broad Market
ACWI,24.03,2.58,13.28,1.98,1,World Stock,Mid Fundamentals Broad Market
VXF,24.66,3.09,14.03,1.98,1,Mid-Cap Blend,Mid Fundamentals Broad Market
EWJ,20.5,1.38,9.43,1.05,2,Japan Stock,Low Fundamentals Broad Market
XLP,22.84,5.27,13.85,1.49,3,Consumer Defensive,High Fundamental Broad Market
SCHG,37.16,8.99,23.85,4.63,3,Large Growth,High Fundamental Broad Market
ESGU,27.37,3.99,17.06,2.69,3,,High Fundamental Broad Market
XLE,0.0,1.71,11.91,1.61,5,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)"
MTUM,41.36,10.35,25.67,5.18,3,Large Growth,High Fundamental Broad Market
VHT,27.7,4.82,15.5,1.83,3,Health,High Fundamental Broad Market
SCHA,20.69,2.3,9.87,1.44,1,Small Blend,Mid Fundamentals Broad Market
XLC,26.9,3.74,13.95,3.3,3,Communications,High Fundamental Broad Market
XLU,22.0,2.01,10.1,2.76,1,Utilities,Mid Fundamentals Broad Market
IWO,29.99,5.61,15.87,2.45,3,Small Growth,High Fundamental Broad Market
IWN,15.68,1.48,7.01,0.96,2,Small Value,Low Fundamentals Broad Market
IWS,22.09,2.13,10.84,1.54,1,Mid-Cap Value,Mid Fundamentals Broad Market
GSLC,26.72,4.56,14.97,2.23,3,Large Blend,High Fundamental Broad Market
FDN,37.4,8.29,25.0,5.15,3,Technology,High Fundamental Broad Market
SCZ,18.86,1.41,8.58,0.95,2,Foreign Small/Mid Blend,Low Fundamentals Broad Market
VOE,20.73,2.22,11.05,1.36,1,Mid-Cap Value,Mid Fundamentals Broad Market
EFAV,21.88,1.99,11.16,1.7,1,Foreign Large Blend,Mid Fundamentals Broad Market
IWV,26.79,3.61,15.51,2.46,3,Large Blend,High Fundamental Broad Market
IUSG,34.77,8.72,22.05,4.72,3,Large Growth,High Fundamental Broad Market
IBB,23.5,6.38,16.71,6.18,3,Health,High Fundamental Broad Market
VOT,38.8,6.5,24.84,4.72,3,Mid-Cap Growth,High Fundamental Broad Market
FVD,21.0,2.48,11.82,1.87,1,Large Value,Mid Fundamentals Broad Market
EFG,31.11,3.8,17.5,2.58,3,Foreign Large Growth,High Fundamental Broad Market
MGK,38.1,10.07,23.61,5.46,3,Large Growth,High Fundamental Broad Market
TQQQ,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
SPYG,34.7,9.35,21.78,4.78,3,Large Growth,High Fundamental Broad Market
VLUE,17.17,1.82,7.43,1.03,2,Large Value,Low Fundamentals Broad Market
IHI,39.08,5.26,29.09,6.41,3,Health,High Fundamental Broad Market
SPDW,20.5,1.62,9.59,1.24,1,Foreign Large Blend,Mid Fundamentals Broad Market
SCHE,18.7,2.06,11.52,1.74,1,Diversified Emerging Mkts,Mid Fundamentals Broad Market
SPLV,24.37,4.42,14.07,2.08,3,Large Blend,High Fundamental Broad Market
SCHM,23.89,2.64,12.53,1.84,1,Mid-Cap Blend,Mid Fundamentals Broad Market
SCHV,22.31,2.58,12.6,1.96,1,Large Value,Mid Fundamentals Broad Market
IJK,32.31,4.26,17.28,2.85,3,Mid-Cap Growth,High Fundamental Broad Market
SPLG,27.92,4.0,16.3,2.74,3,Large Blend,High Fundamental Broad Market
IUSV,21.12,2.24,11.38,1.68,1,Large Value,Mid Fundamentals Broad Market
ARKG,0.0,5.47,0.0,8.0,5,Health,"Low Fundamental ETF’s (Energy, Health,Finance)"
SPYV,22.34,2.45,12.22,1.88,1,Large Value,Mid Fundamentals Broad Market
EFV,15.91,1.08,6.68,0.95,2,Foreign Large Value,Low Fundamentals Broad Market
OEF,27.55,4.25,16.84,3.1,3,Large Blend,High Fundamental Broad Market
VFH,17.37,1.44,0.0,2.34,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
EWY,19.45,1.21,7.44,0.79,2,Miscellaneous Region,Low Fundamentals Broad Market
NOBL,24.89,3.27,14.02,1.5,1,Large Blend,Mid Fundamentals Broad Market
FTCS,23.34,6.56,16.52,2.46,3,Large Blend,High Fundamental Broad Market
XBI,0.0,5.8,0.0,2.16,5,Health,"Low Fundamental ETF’s (Energy, Health,Finance)"
IYW,32.4,9.07,21.37,5.92,3,Technology,High Fundamental Broad Market
EWZ,21.14,2.39,6.33,1.7,2,Latin America Stock,Low Fundamentals Broad Market
MCHI,18.34,2.37,16.08,1.96,1,China Region,Mid Fundamentals Broad Market
IJS,18.05,1.41,6.4,0.83,2,Small Value,Low Fundamentals Broad Market
BBJP,20.3,1.34,9.39,1.02,2,Japan Stock,Low Fundamentals Broad Market
GDXJ,22.4,2.02,8.72,2.42,1,Equity Precious Metals,Mid Fundamentals Broad Market
SKYY,0.0,7.03,15.33,4.28,5,Technology,"Low Fundamental ETF’s (Energy, Health,Finance)"
ESGE,20.23,2.09,12.03,1.68,1,,Mid Fundamentals Broad Market
IGV,40.31,11.8,29.86,9.76,3,Technology,High Fundamental Broad Market
ACWV,21.61,2.62,11.72,1.9,1,World Stock,Mid Fundamentals Broad Market
HDV,23.04,2.33,10.48,2.06,1,Large Value,Mid Fundamentals Broad Market
VSS,17.53,1.52,8.28,1.0,2,Foreign Small/Mid Blend,Low Fundamentals Broad Market
VDC,22.95,4.78,13.65,1.19,3,Consumer Defensive,High Fundamental Broad Market
AAXJ,19.94,2.02,12.29,1.69,1,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market
VONG,35.22,11.12,22.35,4.24,3,Large Growth,High Fundamental Broad Market
IJJ,19.58,1.71,8.33,1.1,2,Mid-Cap Value,Low Fundamentals Broad Market
EWT,19.34,1.98,10.67,1.1,2,China Region,Low Fundamentals Broad Market
FNDF,17.18,1.04,5.77,0.69,2,Foreign Large Value,Low Fundamentals Broad Market
FNDX,21.51,2.16,9.77,1.16,2,Large Value,Low Fundamentals Broad Market
FTEC,33.9,9.11,21.17,5.36,3,Technology,High Fundamental Broad Market
ARKW,0.0,9.28,34.57,9.08,3,Technology,High Fundamental Broad Market
IJT,23.91,3.38,13.36,1.76,1,Small Growth,Mid Fundamentals Broad Market
XLB,31.97,3.04,13.3,2.47,1,Natural Resources,Mid Fundamentals Broad Market
EZU,22.16,1.58,9.4,1.2,1,Europe Stock,Mid Fundamentals Broad Market
DGRW,22.55,5.2,13.54,2.67,3,Large Blend,High Fundamental Broad Market
IXN,33.16,6.92,19.03,4.69,3,Technology,High Fundamental Broad Market
SPEM,18.35,1.93,10.56,1.53,1,Diversified Emerging Mkts,Mid Fundamentals Broad Market
VOOG,34.7,9.36,21.77,4.78,3,Large Growth,High Fundamental Broad Market
SOXX,30.24,6.63,19.33,6.24,3,Technology,High Fundamental Broad Market
VCR,32.61,6.8,15.22,2.0,3,Consumer Cyclical,High Fundamental Broad Market
INDA,25.48,3.05,13.53,2.27,1,India Equity,Mid Fundamentals Broad Market
ICLN,37.37,4.79,17.74,4.52,3,Miscellaneous Sector,High Fundamental Broad Market
IDEV,20.55,1.63,9.8,1.31,1,,Mid Fundamentals Broad Market
VPL,20.13,1.43,9.16,1.14,2,Diversified Pacific/Asia,Low Fundamentals Broad Market
PRF,21.81,2.29,10.1,1.23,1,Large Value,Mid Fundamentals Broad Market
BBCA,17.72,1.9,10.87,1.82,1,,Mid Fundamentals Broad Market
VPU,21.67,1.95,9.7,2.56,1,Utilities,Mid Fundamentals Broad Market
SPTM,26.84,3.58,15.37,2.43,3,Large Blend,High Fundamental Broad Market
AMLP,11.38,1.28,4.34,0.98,2,Energy Limited Partnership,Low Fundamentals Broad Market
EEMV,18.2,1.92,11.15,1.62,1,Diversified Emerging Mkts,Mid Fundamentals Broad Market
MOAT,21.65,2.77,13.65,2.54,1,Large Blend,Mid Fundamentals Broad Market
ESGD,21.18,1.65,10.51,1.32,1,,Mid Fundamentals Broad Market
FXI,12.67,1.4,13.48,1.58,1,,Mid Fundamentals Broad Market
IEUR,21.15,1.76,9.95,1.35,1,Europe Stock,Mid Fundamentals Broad Market
QLD,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
SMH,31.94,7.02,20.97,6.66,3,Technology,High Fundamental Broad Market
VIS,27.96,4.29,15.18,2.07,3,Industrials,High Fundamental Broad Market
IDV,12.23,1.09,6.38,0.93,2,Foreign Large Value,Low Fundamentals Broad Market
ACWX,20.28,1.77,10.34,1.45,1,Foreign Large Blend,Mid Fundamentals Broad Market
DBEF,21.3,1.75,10.29,1.44,1,Foreign Large Blend,Mid Fundamentals Broad Market
FNDA,20.36,1.73,7.34,0.95,2,Small Blend,Low Fundamentals Broad Market
KWEB,39.75,5.34,25.17,0.0,3,China Region,High Fundamental Broad Market
ONEQ,33.61,6.37,20.37,4.1,3,Large Growth,High Fundamental Broad Market
FNDE,11.59,1.0,5.12,0.67,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
TAN,47.15,5.37,17.93,4.95,3,Miscellaneous Sector,High Fundamental Broad Market
GUNR,22.57,1.59,8.52,1.13,2,Natural Resources,Low Fundamentals Broad Market
MGV,21.34,2.58,12.03,1.99,1,Large Value,Mid Fundamentals Broad Market
IWY,35.15,11.56,22.71,4.86,3,Large Growth,High Fundamental Broad Market
BBEU,20.96,1.77,10.11,1.4,1,Europe Stock,Mid Fundamentals Broad Market
SPMD,24.6,2.41,11.43,1.58,1,Mid-Cap Blend,Mid Fundamentals Broad Market
XSOE,24.3,2.67,13.41,1.85,1,Diversified Emerging Mkts,Mid Fundamentals Broad Market
VONV,22.51,2.37,12.4,2.0,1,Large Value,Mid Fundamentals Broad Market
QTEC,33.99,8.09,23.91,6.68,3,Technology,High Fundamental Broad Market
VDE,0.0,1.59,9.85,1.42,5,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)"
MGC,28.64,4.35,16.91,3.05,3,Large Blend,High Fundamental Broad Market
VOX,27.51,3.72,12.76,3.29,3,Communications,High Fundamental Broad Market
SPSM,20.66,1.96,8.86,1.12,2,Small Blend,Low Fundamentals Broad Market
VTWO,20.89,2.53,11.03,1.51,1,Small Blend,Mid Fundamentals Broad Market
IGM,35.41,8.31,21.8,5.28,3,Technology,High Fundamental Broad Market
SSO,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
IGF,24.99,1.86,9.8,2.53,1,Infrastructure,Mid Fundamentals Broad Market
CIBR,25.84,7.17,19.2,3.46,3,Technology,High Fundamental Broad Market
BBIN,20.91,1.62,9.92,1.33,1,Foreign Large Blend,Mid Fundamentals Broad Market
XT,28.03,3.8,12.83,2.9,3,Miscellaneous Sector,High Fundamental Broad Market
VIGI,28.22,3.64,17.19,2.58,3,Foreign Large Growth,High Fundamental Broad Market
SCHC,17.85,1.4,7.78,0.94,2,Foreign Small/Mid Blend,Low Fundamentals Broad Market
ESGV,27.82,4.3,16.93,2.78,3,,High Fundamental Broad Market
JETS,0.0,1.92,0.0,1.01,5,Miscellaneous Sector,"Low Fundamental ETF’s (Energy, Health,Finance)"
EWU,19.58,1.54,8.29,1.22,2,Miscellaneous Region,Low Fundamentals Broad Market
ITA,21.72,2.54,17.18,1.41,1,Industrials,Mid Fundamentals Broad Market
IOO,25.33,2.91,13.94,2.34,1,World Stock,Mid Fundamentals Broad Market
USSG,28.56,4.92,17.3,3.17,3,Large Blend,High Fundamental Broad Market
SUSL,27.55,4.73,16.98,3.01,3,Large Blend,High Fundamental Broad Market
SLYV,19.06,1.59,7.71,0.94,2,Small Value,Low Fundamentals Broad Market
RPG,34.31,9.36,25.87,6.02,3,Large Growth,High Fundamental Broad Market
EWC,17.61,1.87,10.64,1.76,1,Miscellaneous Region,Mid Fundamentals Broad Market
DON,17.37,1.94,8.6,1.41,2,Mid-Cap Value,Low Fundamentals Broad Market
IQLT,23.11,2.98,14.57,2.14,1,Foreign Large Blend,Mid Fundamentals Broad Market
DSI,27.93,4.71,16.1,2.83,3,Large Blend,High Fundamental Broad Market
EWG,22.12,1.62,8.18,1.03,2,Miscellaneous Region,Low Fundamentals Broad Market
DLN,21.8,3.44,12.39,2.33,1,Large Value,Mid Fundamentals Broad Market
FXL,28.6,5.9,16.96,2.15,3,Technology,High Fundamental Broad Market
AIA,20.53,2.0,12.9,2.23,1,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market
PBW,0.0,5.54,0.0,1.85,5,Miscellaneous Sector,"Low Fundamental ETF’s (Energy, Health,Finance)"
SPHD,21.84,2.15,8.05,1.28,2,Large Value,Low Fundamentals Broad Market
KBE,14.18,1.07,0.0,2.59,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
IYH,26.55,4.82,16.5,2.14,3,Health,High Fundamental Broad Market
IXJ,25.58,4.43,15.73,2.09,3,Health,High Fundamental Broad Market
FHLC,26.67,4.91,16.33,1.96,3,Health,High Fundamental Broad Market
SPHQ,27.94,6.55,18.44,3.26,3,Large Blend,High Fundamental Broad Market
HEFA,21.18,1.65,10.02,1.36,1,Foreign Large Blend,Mid Fundamentals Broad Market
BOTZ,46.79,3.81,22.86,3.04,3,Miscellaneous Sector,High Fundamental Broad Market
PDP,43.46,11.46,28.31,6.66,3,Large Growth,High Fundamental Broad Market
SPYD,18.16,1.39,8.78,1.28,2,,Low Fundamentals Broad Market
FV,25.4,3.8,11.27,1.58,1,Large Growth,Mid Fundamentals Broad Market
ASHR,19.24,2.36,16.68,1.99,1,China Region,Mid Fundamentals Broad Market
RYT,32.32,5.1,17.6,3.07,3,Technology,High Fundamental Broad Market
XOP,0.0,1.43,6.37,1.11,5,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)"
VAW,28.66,2.95,12.37,1.92,1,Natural Resources,Mid Fundamentals Broad Market
GSIE,20.67,1.91,9.21,1.18,2,Foreign Large Blend,Low Fundamentals Broad Market
FNDC,15.74,1.06,5.66,0.59,2,Foreign Small/Mid Blend,Low Fundamentals Broad Market
SUSA,27.65,4.42,16.55,2.6,3,Large Blend,High Fundamental Broad Market
NFRA,23.0,2.08,8.45,2.01,1,Infrastructure,Mid Fundamentals Broad Market
FAS,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
RODM,15.88,1.44,7.78,0.92,2,Foreign Large Blend,Low Fundamentals Broad Market
EPP,21.76,1.72,11.1,2.92,1,Pacific/Asia ex-Japan Stk,Mid Fundamentals Broad Market
TECL,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
FBT,25.45,4.85,19.77,5.47,3,Health,High Fundamental Broad Market
ITB,14.35,2.44,9.9,1.16,2,Consumer Cyclical,Low Fundamentals Broad Market
MDYG,31.65,4.4,17.6,2.95,3,Mid-Cap Growth,High Fundamental Broad Market
HACK,31.47,5.06,19.29,3.81,3,Technology,High Fundamental Broad Market
VONE,27.89,3.95,16.38,2.71,3,Large Blend,High Fundamental Broad Market
FPX,0.0,7.22,21.66,4.17,5,Large Growth,"Low Fundamental ETF’s (Energy, Health,Finance)"
HEDJ,23.85,2.63,9.65,1.14,1,Europe Stock,Mid Fundamentals Broad Market
ARKF,43.96,8.65,30.9,7.12,3,Technology,High Fundamental Broad Market
SLYG,24.32,3.53,14.33,1.86,1,Small Growth,Mid Fundamentals Broad Market
KRE,18.03,1.32,0.0,3.49,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
QCLN,38.34,6.09,19.16,5.6,3,Miscellaneous Sector,High Fundamental Broad Market
SOXL,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
FEZ,22.57,1.95,11.02,1.56,1,Europe Stock,Mid Fundamentals Broad Market
JHMM,24.52,2.99,13.55,1.77,1,Mid-Cap Blend,Mid Fundamentals Broad Market
JKE,43.71,11.37,29.39,8.85,3,,High Fundamental Broad Market
RDVY,16.56,1.81,14.26,1.31,1,Large Value,Mid Fundamentals Broad Market
SH,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
GXC,17.48,2.13,14.91,1.76,1,China Region,Mid Fundamentals Broad Market
UPRO,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
GEM,18.32,1.91,9.69,1.37,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
USMC,27.15,4.48,15.29,3.18,3,Large Blend,High Fundamental Broad Market
KOMP,27.86,3.56,12.22,2.01,1,Mid-Cap Growth,Mid Fundamentals Broad Market
EWA,23.62,2.15,11.8,2.97,1,Miscellaneous Region,Mid Fundamentals Broad Market
EWL,22.07,2.88,16.54,2.42,1,Miscellaneous Region,Mid Fundamentals Broad Market
BBAX,21.9,1.7,10.89,2.74,1,,Mid Fundamentals Broad Market
XLG,28.79,4.86,18.17,3.77,3,Large Blend,High Fundamental Broad Market
XMLV,24.89,2.96,13.06,1.81,1,Mid-Cap Value,Mid Fundamentals Broad Market
DEM,9.61,1.12,5.54,0.77,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
PRFZ,19.69,2.1,8.83,1.12,2,Small Blend,Low Fundamentals Broad Market
DGS,10.19,1.11,5.54,0.64,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
EMLP,16.61,1.53,6.73,1.16,2,Energy Limited Partnership,Low Fundamentals Broad Market
VYMI,14.73,1.28,6.9,1.09,2,Foreign Large Value,Low Fundamentals Broad Market
SPXL,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
ARKQ,38.8,5.97,21.9,3.59,3,Technology,High Fundamental Broad Market
AMJ,0.0,0.0,0.0,0.0,5,Energy Limited Partnership,"Low Fundamental ETF’s (Energy, Health,Finance)"
QYLD,34.66,7.88,21.31,4.77,3,Option Writing,High Fundamental Broad Market
IEV,21.05,1.75,10.02,1.38,1,Europe Stock,Mid Fundamentals Broad Market
RSX,11.28,1.16,5.54,1.29,2,Miscellaneous Region,Low Fundamentals Broad Market
DXJ,18.24,1.02,7.46,0.79,2,Japan Stock,Low Fundamentals Broad Market
ROBO,38.54,4.07,20.16,3.01,3,,High Fundamental Broad Market
VOOV,22.33,2.45,12.23,1.89,1,Large Value,Mid Fundamentals Broad Market
VSGX,19.9,1.8,11.53,1.55,1,,Mid Fundamentals Broad Market
ILF,20.11,2.13,5.8,1.86,2,Latin America Stock,Low Fundamentals Broad Market
DES,16.64,1.6,7.5,1.03,2,Small Value,Low Fundamentals Broad Market
CLOU,52.99,10.55,29.66,8.81,3,Technology,High Fundamental Broad Market
JKH,38.74,8.76,28.89,7.06,3,,High Fundamental Broad Market
LIT,35.87,4.91,20.19,2.61,3,Natural Resources,High Fundamental Broad Market
IYT,26.87,3.8,9.32,1.37,1,Industrials,Mid Fundamentals Broad Market
MDYV,19.57,1.71,8.33,1.1,2,Mid-Cap Value,Low Fundamentals Broad Market
XSLV,23.8,2.28,14.59,1.59,1,Small Blend,Mid Fundamentals Broad Market
TNA,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
CWI,20.61,1.78,10.14,1.44,1,Foreign Large Blend,Mid Fundamentals Broad Market
FXH,21.66,3.96,13.34,1.15,3,Health,High Fundamental Broad Market
EWH,20.18,1.25,8.94,2.68,1,,Mid Fundamentals Broad Market
IYY,27.26,3.76,16.04,2.6,3,Large Blend,High Fundamental Broad Market
QDF,20.61,4.13,11.69,1.66,1,Large Value,Mid Fundamentals Broad Market
IYF,19.6,1.69,0.0,2.68,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
FLQL,24.32,5.35,14.24,2.54,3,Large Blend,High Fundamental Broad Market
EMQQ,39.65,6.27,27.63,5.1,3,Diversified Emerging Mkts,High Fundamental Broad Market
SCHK,27.43,3.85,16.24,2.64,3,Large Blend,High Fundamental Broad Market
DLS,13.16,1.13,5.87,0.73,2,Foreign Small/Mid Value,Low Fundamentals Broad Market
FDL,19.73,1.86,8.19,1.77,2,Large Value,Low Fundamentals Broad Market
TILT,22.39,2.61,11.62,1.68,1,Large Blend,Mid Fundamentals Broad Market
SQQQ,-1.0,-1.0,-1.0,-1.0,0,Trading--Inverse Equity,Market Inverse ETF
TDIV,21.4,3.98,9.79,2.52,1,Technology,Mid Fundamentals Broad Market
FXD,20.48,3.31,9.95,1.31,1,Consumer Cyclical,Mid Fundamentals Broad Market
SLY,21.54,2.16,10.21,1.23,1,Small Blend,Mid Fundamentals Broad Market
CQQQ,40.95,4.26,19.92,2.9,3,China Region,High Fundamental Broad Market
KBWB,18.17,1.21,0.0,2.78,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
EWW,15.1,1.71,6.2,1.24,2,Miscellaneous Region,Low Fundamentals Broad Market
PHO,36.66,4.88,19.73,3.57,3,Natural Resources,High Fundamental Broad Market
XHB,18.2,3.31,11.48,1.44,1,Consumer Cyclical,Mid Fundamentals Broad Market
FDIS,33.18,6.59,15.04,1.95,3,Consumer Cyclical,High Fundamental Broad Market
BBMC,25.14,2.83,12.41,1.88,1,Mid-Cap Blend,Mid Fundamentals Broad Market
GNR,21.92,1.49,7.99,1.06,2,Natural Resources,Low Fundamentals Broad Market
WCLD,0.0,16.06,36.23,11.18,3,Technology,High Fundamental Broad Market
XAR,27.67,3.37,17.64,1.67,3,Industrials,High Fundamental Broad Market
IYC,30.21,5.51,15.23,1.52,3,Consumer Cyclical,High Fundamental Broad Market
IYJ,29.22,4.45,15.33,2.26,3,Industrials,High Fundamental Broad Market
PXH,11.8,1.16,6.52,0.97,2,Diversified Emerging Mkts,Low Fundamentals Broad Market
IYG,19.41,1.79,0.0,3.36,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
VIOO,21.54,2.16,10.22,1.24,1,Small Blend,Mid Fundamentals Broad Market
QQEW,31.89,5.61,19.5,3.69,3,Large Growth,High Fundamental Broad Market
URTH,24.85,2.69,13.58,2.05,1,World Stock,Mid Fundamentals Broad Market
NUGT,-5.0,-5.0,-5.0,-5.0,4,Trading--Leveraged Equity,Market Leveraged ETF
IHF,17.87,2.84,8.6,0.73,2,Health,Low Fundamentals Broad Market
IPAC,20.26,1.39,9.5,1.18,2,Diversified Pacific/Asia,Low Fundamentals Broad Market
FUTY,21.83,2.09,9.95,2.54,1,Utilities,Mid Fundamentals Broad Market
FTC,33.69,8.0,24.64,4.84,3,Large Growth,High Fundamental Broad Market
IVOO,24.94,2.55,12.24,1.69,1,Mid-Cap Blend,Mid Fundamentals Broad Market
RPV,13.8,1.07,6.28,0.67,2,Large Value,Low Fundamentals Broad Market
PXF,17.33,1.17,6.85,0.89,2,Foreign Large Value,Low Fundamentals Broad Market
SIZE,24.45,2.84,13.49,1.89,1,Large Blend,Mid Fundamentals Broad Market
EUFN,11.73,0.7,0.0,0.99,5,Financial,"Low Fundamental ETF’s (Energy, Health,Finance)"
IPAY,38.39,4.61,18.73,4.52,3,Miscellaneous Sector,High Fundamental Broad Market
